filepath,valid,width,height,channels,file_size_bytes,color_mode,error,label,dataset,filename,file_hash,log_file_size
E:\AMIT AI\Face Mask & Emotion detection\angry\0.jpg,True,48,48,1,1521,L,,angry,emotion,0.jpg,91b15102dd44c38f73dd1ccb78bfdbbb,7.3277805384216315
E:\AMIT AI\Face Mask & Emotion detection\angry\1.jpg,True,48,48,1,1690,L,,angry,emotion,1.jpg,7b012d7cd44fdd7b02a8da0884a989fc,7.43307534889858
E:\AMIT AI\Face Mask & Emotion detection\angry\10.jpg,True,48,48,1,1693,L,,angry,emotion,10.jpg,126110812318dda150cc1afe95adba5b,7.434847875211999
E:\AMIT AI\Face Mask & Emotion detection\angry\1015.jpg,True,48,48,1,1602,L,,angry,emotion,1015.jpg,f340dc67e5b3db2c2e80d1775ff9d11a,7.3796321526095525
E:\AMIT AI\Face Mask & Emotion detection\angry\1016.jpg,True,48,48,1,2176,L,,angry,emotion,1016.jpg,bfc73779c4dfe28923dc4875152032d3,7.685703061234547
E:\AMIT AI\Face Mask & Emotion detection\angry\1018.jpg,True,48,48,1,1571,L,,angry,emotion,1018.jpg,7aca17590eab35acf0dbe5165af9f907,7.360103972989152
E:\AMIT AI\Face Mask & Emotion detection\angry\1039.jpg,True,48,48,1,1369,L,,angry,emotion,1039.jpg,3d2c881e89c3926a3a9d3629405130e7,7.222566018822171
E:\AMIT AI\Face Mask & Emotion detection\angry\1051.jpg,True,48,48,1,1660,L,,angry,emotion,1051.jpg,f0f984e1011a14a59b5eec9283fbdb5f,7.415175109613295
E:\AMIT AI\Face Mask & Emotion detection\angry\1061.jpg,True,48,48,1,2108,L,,angry,emotion,1061.jpg,4abf6811c969e2e8fd5dac636f5e7d7b,7.653969180478774
E:\AMIT AI\Face Mask & Emotion detection\angry\1066.jpg,True,48,48,1,1721,L,,angry,emotion,1066.jpg,109144516597f1be5db665e1890a2a6d,7.451241684987676
E:\AMIT AI\Face Mask & Emotion detection\angry\107.jpg,True,48,48,1,1657,L,,angry,emotion,107.jpg,5f3fedefe11df264c2138601a0a8752f,7.4133673356952405
E:\AMIT AI\Face Mask & Emotion detection\angry\1090.jpg,True,48,48,1,1570,L,,angry,emotion,1090.jpg,dd230e2b11840e2bf2d0d9ff33b79f03,7.359467638255621
E:\AMIT AI\Face Mask & Emotion detection\angry\1098.jpg,True,48,48,1,1237,L,,angry,emotion,1098.jpg,163fc6aeb88f0fda47f8152691e26af8,7.121252453244542
E:\AMIT AI\Face Mask & Emotion detection\angry\1102.jpg,True,48,48,1,1580,L,,angry,emotion,1102.jpg,b36eb9010d3224b1434e03bf7a891515,7.365812837209472
E:\AMIT AI\Face Mask & Emotion detection\angry\1105.jpg,True,48,48,1,1682,L,,angry,emotion,1105.jpg,8fb8c538a47b04f99a90a8db920ba25f,7.428333194190806
E:\AMIT AI\Face Mask & Emotion detection\angry\1108.jpg,True,48,48,1,1642,L,,angry,emotion,1108.jpg,bb917115282bbbcdd5e1f4544241f249,7.404279118037268
E:\AMIT AI\Face Mask & Emotion detection\angry\1122.jpg,True,48,48,1,1557,L,,angry,emotion,1122.jpg,70a960cd0bae5f748690affb6219e2a8,7.351158226430694
E:\AMIT AI\Face Mask & Emotion detection\angry\1123.jpg,True,48,48,1,1475,L,,angry,emotion,1123.jpg,7ea97a86d260084ae46c292349db378e,7.297091005160418
E:\AMIT AI\Face Mask & Emotion detection\angry\1147.jpg,True,48,48,1,1525,L,,angry,emotion,1147.jpg,f07760fabba75b883f7c937582052a82,7.330405211844402
E:\AMIT AI\Face Mask & Emotion detection\angry\1150.jpg,True,48,48,1,1332,L,,angry,emotion,1150.jpg,1662f90a8c50691239964e84fb02bf5c,7.195187320178709
E:\AMIT AI\Face Mask & Emotion detection\angry\1158.jpg,True,48,48,1,1558,L,,angry,emotion,1158.jpg,8f5b9a39c0caf723e0ea40e02dbdc881,7.351799869057777
E:\AMIT AI\Face Mask & Emotion detection\angry\1160.jpg,True,48,48,1,1784,L,,angry,emotion,1160.jpg,91d40b9f6309133a295464bdbda96033,7.487173694213739
E:\AMIT AI\Face Mask & Emotion detection\angry\1166.jpg,True,48,48,1,1631,L,,angry,emotion,1166.jpg,c4490c646f2153018361ce3559fc9b6e,7.397561535524052
E:\AMIT AI\Face Mask & Emotion detection\angry\1168.jpg,True,48,48,1,1458,L,,angry,emotion,1168.jpg,f775c210e7bb65bb0b53d909fb926e06,7.285506548522785
E:\AMIT AI\Face Mask & Emotion detection\angry\117.jpg,True,48,48,1,1336,L,,angry,emotion,117.jpg,baa2d25a572e7d1f52faa3b6045ad788,7.198183577101943
E:\AMIT AI\Face Mask & Emotion detection\angry\1170.jpg,True,48,48,1,1805,L,,angry,emotion,1170.jpg,6deadcfe0bcb5f85c7964ed3188c637a,7.498869733976931
