filepath,valid,width,height,channels,file_size_bytes,color_mode,error,label,dataset,filename,file_hash
E:\AMIT AI\Face Mask & Emotion detection\angry\0.jpg,True,48,48,1,1521,L,,angry,emotion,0.jpg,91b15102dd44c38f73dd1ccb78bfdbbb
E:\AMIT AI\Face Mask & Emotion detection\angry\1.jpg,True,48,48,1,1690,L,,angry,emotion,1.jpg,7b012d7cd44fdd7b02a8da0884a989fc
E:\AMIT AI\Face Mask & Emotion detection\angry\10.jpg,True,48,48,1,1693,L,,angry,emotion,10.jpg,126110812318dda150cc1afe95adba5b
E:\AMIT AI\Face Mask & Emotion detection\angry\1015.jpg,True,48,48,1,1602,L,,angry,emotion,1015.jpg,f340dc67e5b3db2c2e80d1775ff9d11a
E:\AMIT AI\Face Mask & Emotion detection\angry\1016.jpg,True,48,48,1,2176,L,,angry,emotion,1016.jpg,bfc73779c4dfe28923dc4875152032d3
E:\AMIT AI\Face Mask & Emotion detection\angry\1018.jpg,True,48,48,1,1571,L,,angry,emotion,1018.jpg,7aca17590eab35acf0dbe5165af9f907
E:\AMIT AI\Face Mask & Emotion detection\angry\1039.jpg,True,48,48,1,1369,L,,angry,emotion,1039.jpg,3d2c881e89c3926a3a9d3629405130e7
E:\AMIT AI\Face Mask & Emotion detection\angry\1051.jpg,True,48,48,1,1660,L,,angry,emotion,1051.jpg,f0f984e1011a14a59b5eec9283fbdb5f
E:\AMIT AI\Face Mask & Emotion detection\angry\1061.jpg,True,48,48,1,2108,L,,angry,emotion,1061.jpg,4abf6811c969e2e8fd5dac636f5e7d7b
E:\AMIT AI\Face Mask & Emotion detection\angry\1066.jpg,True,48,48,1,1721,L,,angry,emotion,1066.jpg,109144516597f1be5db665e1890a2a6d
E:\AMIT AI\Face Mask & Emotion detection\angry\107.jpg,True,48,48,1,1657,L,,angry,emotion,107.jpg,5f3fedefe11df264c2138601a0a8752f
E:\AMIT AI\Face Mask & Emotion detection\angry\1090.jpg,True,48,48,1,1570,L,,angry,emotion,1090.jpg,dd230e2b11840e2bf2d0d9ff33b79f03
E:\AMIT AI\Face Mask & Emotion detection\angry\1098.jpg,True,48,48,1,1237,L,,angry,emotion,1098.jpg,163fc6aeb88f0fda47f8152691e26af8
E:\AMIT AI\Face Mask & Emotion detection\angry\1102.jpg,True,48,48,1,1580,L,,angry,emotion,1102.jpg,b36eb9010d3224b1434e03bf7a891515
E:\AMIT AI\Face Mask & Emotion detection\angry\1105.jpg,True,48,48,1,1682,L,,angry,emotion,1105.jpg,8fb8c538a47b04f99a90a8db920ba25f
E:\AMIT AI\Face Mask & Emotion detection\angry\1108.jpg,True,48,48,1,1642,L,,angry,emotion,1108.jpg,bb917115282bbbcdd5e1f4544241f249
E:\AMIT AI\Face Mask & Emotion detection\angry\1122.jpg,True,48,48,1,1557,L,,angry,emotion,1122.jpg,70a960cd0bae5f748690affb6219e2a8
E:\AMIT AI\Face Mask & Emotion detection\angry\1123.jpg,True,48,48,1,1475,L,,angry,emotion,1123.jpg,7ea97a86d260084ae46c292349db378e
E:\AMIT AI\Face Mask & Emotion detection\angry\1147.jpg,True,48,48,1,1525,L,,angry,emotion,1147.jpg,f07760fabba75b883f7c937582052a82
E:\AMIT AI\Face Mask & Emotion detection\angry\1150.jpg,True,48,48,1,1332,L,,angry,emotion,1150.jpg,1662f90a8c50691239964e84fb02bf5c
E:\AMIT AI\Face Mask & Emotion detection\angry\1158.jpg,True,48,48,1,1558,L,,angry,emotion,1158.jpg,8f5b9a39c0caf723e0ea40e02dbdc881
E:\AMIT AI\Face Mask & Emotion detection\angry\1160.jpg,True,48,48,1,1784,L,,angry,emotion,1160.jpg,91d40b9f6309133a295464bdbda96033
E:\AMIT AI\Face Mask & Emotion detection\angry\1166.jpg,True,48,48,1,1631,L,,angry,emotion,1166.jpg,c4490c646f2153018361ce3559fc9b6e
E:\AMIT AI\Face Mask & Emotion detection\angry\1168.jpg,True,48,48,1,1458,L,,angry,emotion,1168.jpg,f775c210e7bb65bb0b53d909fb926e06
E:\AMIT AI\Face Mask & Emotion detection\angry\117.jpg,True,48,48,1,1336,L,,angry,emotion,117.jpg,baa2d25a572e7d1f52faa3b6045ad788
E:\AMIT AI\Face Mask & Emotion detection\angry\1170.jpg,True,48,48,1,1805,L,,angry,emotion,1170.jpg,6deadcfe0bcb5f85c7964ed3188c637a
E:\AMIT AI\Face Mask & Emotion detection\angry\1178.jpg,True,48,48,1,1635,L,,angry,emotion,1178.jpg,af2f94e8fba44d65a8e03a865af3b74e
E:\AMIT AI\Face Mask & Emotion detection\angry\1181.jpg,True,48,48,1,1596,L,,angry,emotion,1181.jpg,9a54a602c98afe031d0b3c0f24706967
E:\AMIT AI\Face Mask & Emotion detection\angry\1192.jpg,True,48,48,1,1531,L,,angry,emotion,1192.jpg,49d3a66a053f3e533192d953f72cd2be
E:\AMIT AI\Face Mask & Emotion detection\angry\1194.jpg,True,48,48,1,1793,L,,angry,emotion,1194.jpg,596e8bec76b9fe12b8c35b8a2f590701
E:\AMIT AI\Face Mask & Emotion detection\angry\120.jpg,True,48,48,1,1544,L,,angry,emotion,120.jpg,9a7e96eb26079485b8b881e0eae5de16
E:\AMIT AI\Face Mask & Emotion detection\angry\1200.jpg,True,48,48,1,1623,L,,angry,emotion,1200.jpg,fbf1b74f0f6aaa6cbd9477c84ae89a09
E:\AMIT AI\Face Mask & Emotion detection\angry\1204.jpg,True,48,48,1,2162,L,,angry,emotion,1204.jpg,ffafb2a176f4ca52277e318dfd413028
E:\AMIT AI\Face Mask & Emotion detection\angry\1210.jpg,True,48,48,1,1521,L,,angry,emotion,1210.jpg,5a3420a7199b2f40c7d088dcffa70280
E:\AMIT AI\Face Mask & Emotion detection\angry\1211.jpg,True,48,48,1,1664,L,,angry,emotion,1211.jpg,597ddd7b2120ec04479ed980992b20b6
E:\AMIT AI\Face Mask & Emotion detection\angry\1213.jpg,True,48,48,1,1677,L,,angry,emotion,1213.jpg,7ee4ed48522dff0416c52b79427503f4
E:\AMIT AI\Face Mask & Emotion detection\angry\1216.jpg,True,48,48,1,1743,L,,angry,emotion,1216.jpg,d8f6d007b5cfb6fc30b31820a6be88fe
E:\AMIT AI\Face Mask & Emotion detection\angry\122.jpg,True,48,48,1,1540,L,,angry,emotion,122.jpg,cb68d11759c96a28bdce4130e7b3d422
E:\AMIT AI\Face Mask & Emotion detection\angry\1221.jpg,True,48,48,1,1476,L,,angry,emotion,1221.jpg,c1c0fd9035f59e4625570427215683ca
E:\AMIT AI\Face Mask & Emotion detection\angry\1225.jpg,True,48,48,1,1481,L,,angry,emotion,1225.jpg,12f2de192bcf2da9dd8fd098700821b0
E:\AMIT AI\Face Mask & Emotion detection\angry\1226.jpg,True,48,48,1,1610,L,,angry,emotion,1226.jpg,ac43ac647e2fcb81731c5c38d4765b5f
E:\AMIT AI\Face Mask & Emotion detection\angry\123.jpg,True,48,48,1,1519,L,,angry,emotion,123.jpg,c40181bdf7fd9791922816e08efafeb9
E:\AMIT AI\Face Mask & Emotion detection\angry\1233.jpg,True,48,48,1,1655,L,,angry,emotion,1233.jpg,3fc03c74e969e3d8335b704494ad7aae
E:\AMIT AI\Face Mask & Emotion detection\angry\1242.jpg,True,48,48,1,1594,L,,angry,emotion,1242.jpg,06dcaf7eb71cebadf17bab5c273b0118
E:\AMIT AI\Face Mask & Emotion detection\angry\1250.jpg,True,48,48,1,1559,L,,angry,emotion,1250.jpg,e2bb3371a242a7edef9b25e312166af0
E:\AMIT AI\Face Mask & Emotion detection\angry\1252.jpg,True,48,48,1,1581,L,,angry,emotion,1252.jpg,e1507d19dc4c94cebb07c581e477f5b9
E:\AMIT AI\Face Mask & Emotion detection\angry\1255.jpg,True,48,48,1,1781,L,,angry,emotion,1255.jpg,8c17fb39ab8177d637314181917cdd43
E:\AMIT AI\Face Mask & Emotion detection\angry\126.jpg,True,48,48,1,1513,L,,angry,emotion,126.jpg,adb782af1fac4794fb2094ba2ea0cbf5
E:\AMIT AI\Face Mask & Emotion detection\angry\1267.jpg,True,48,48,1,1675,L,,angry,emotion,1267.jpg,ae8196f6c862aa4e1024e89b2d2fab61
E:\AMIT AI\Face Mask & Emotion detection\angry\1268.jpg,True,48,48,1,1700,L,,angry,emotion,1268.jpg,8a2a64255bd2289e19577b697986d113
E:\AMIT AI\Face Mask & Emotion detection\angry\1299.jpg,True,48,48,1,1644,L,,angry,emotion,1299.jpg,c581cb2682b7e70cd8d334a333fad362
E:\AMIT AI\Face Mask & Emotion detection\angry\1308.jpg,True,48,48,1,1487,L,,angry,emotion,1308.jpg,19e1650d2c22c25c58015f04f6973cfa
E:\AMIT AI\Face Mask & Emotion detection\angry\1311.jpg,True,48,48,1,1836,L,,angry,emotion,1311.jpg,d1eac07c47bc0ef306103c6b2b603ac8
E:\AMIT AI\Face Mask & Emotion detection\angry\1317.jpg,True,48,48,1,1439,L,,angry,emotion,1317.jpg,8787dc9cd93dd0da543f5a3b298ef7c9
E:\AMIT AI\Face Mask & Emotion detection\angry\1338.jpg,True,48,48,1,1337,L,,angry,emotion,1338.jpg,d18f48bfa3576fdaac9fca4f8da4a09b
E:\AMIT AI\Face Mask & Emotion detection\angry\134.jpg,True,48,48,1,1341,L,,angry,emotion,134.jpg,8c3d91e7eef5c39ed36232e396aa4067
E:\AMIT AI\Face Mask & Emotion detection\angry\1349.jpg,True,48,48,1,1592,L,,angry,emotion,1349.jpg,4c146ed3678a67bcc8db37fbfded1fdd
E:\AMIT AI\Face Mask & Emotion detection\angry\1365.jpg,True,48,48,1,1493,L,,angry,emotion,1365.jpg,05029bcc4b8c5e6d4e1db1b82b95942d
E:\AMIT AI\Face Mask & Emotion detection\angry\1370.jpg,True,48,48,1,1356,L,,angry,emotion,1370.jpg,5eee2ea8474391a24f7e8f5b7a974db8
E:\AMIT AI\Face Mask & Emotion detection\angry\1372.jpg,True,48,48,1,1704,L,,angry,emotion,1372.jpg,eb64dc182ea1933274784cdba1f91e09
E:\AMIT AI\Face Mask & Emotion detection\angry\1373.jpg,True,48,48,1,1465,L,,angry,emotion,1373.jpg,393e1fcde4e4e20e37242c7a99938417
E:\AMIT AI\Face Mask & Emotion detection\angry\1374.jpg,True,48,48,1,1392,L,,angry,emotion,1374.jpg,b2c58d272f2fdee3414fdc9141bcaa99
E:\AMIT AI\Face Mask & Emotion detection\angry\1375.jpg,True,48,48,1,1692,L,,angry,emotion,1375.jpg,7cfb0038163ac1145a751aa353656df6
E:\AMIT AI\Face Mask & Emotion detection\angry\1384.jpg,True,48,48,1,1567,L,,angry,emotion,1384.jpg,fe6affa646195aaab005bc41919f6cc7
E:\AMIT AI\Face Mask & Emotion detection\angry\1392.jpg,True,48,48,1,1584,L,,angry,emotion,1392.jpg,4be64740b5e39af166e5c5adbd0b6b59
E:\AMIT AI\Face Mask & Emotion detection\angry\1393.jpg,True,48,48,1,1414,L,,angry,emotion,1393.jpg,b878d67c1467bf9e01ded1b73eb03b60
E:\AMIT AI\Face Mask & Emotion detection\angry\1396.jpg,True,48,48,1,1517,L,,angry,emotion,1396.jpg,a9c982261022f247861765bf310cf58f
E:\AMIT AI\Face Mask & Emotion detection\angry\1397.jpg,True,48,48,1,1706,L,,angry,emotion,1397.jpg,0bfa02e08db77b7efb21538030901643
E:\AMIT AI\Face Mask & Emotion detection\angry\1412.jpg,True,48,48,1,1599,L,,angry,emotion,1412.jpg,5783b7721ccae49dfd08db17f56ff13f
E:\AMIT AI\Face Mask & Emotion detection\angry\1413.jpg,True,48,48,1,1734,L,,angry,emotion,1413.jpg,9399b410a4d4a4d0730322a3dad0b371
E:\AMIT AI\Face Mask & Emotion detection\angry\1443.jpg,True,48,48,1,1722,L,,angry,emotion,1443.jpg,524fb622d3acfa42e72ef010a511cd3b
E:\AMIT AI\Face Mask & Emotion detection\angry\1444.jpg,True,48,48,1,1538,L,,angry,emotion,1444.jpg,5777c6d3f9ff6f6baa7c62b8a5fcb1bc
E:\AMIT AI\Face Mask & Emotion detection\angry\1448.jpg,True,48,48,1,1492,L,,angry,emotion,1448.jpg,a5677df7ec67985eaa79ff6365723a62
E:\AMIT AI\Face Mask & Emotion detection\angry\1450.jpg,True,48,48,1,1856,L,,angry,emotion,1450.jpg,acd6065273779d92a801a8916313e931
E:\AMIT AI\Face Mask & Emotion detection\angry\1453.jpg,True,48,48,1,1274,L,,angry,emotion,1453.jpg,0167db3c3173bd687edeaeeb1446ba99
E:\AMIT AI\Face Mask & Emotion detection\angry\1462.jpg,True,48,48,1,1635,L,,angry,emotion,1462.jpg,db9ca779476ab88d4cd05f3c43425916
E:\AMIT AI\Face Mask & Emotion detection\angry\1468.jpg,True,48,48,1,1717,L,,angry,emotion,1468.jpg,fd1f5baecf6bb69724056703b142fed5
E:\AMIT AI\Face Mask & Emotion detection\angry\1483.jpg,True,48,48,1,1741,L,,angry,emotion,1483.jpg,5b78519ac5b1467b3d4f9cdfce30f455
E:\AMIT AI\Face Mask & Emotion detection\angry\149.jpg,True,48,48,1,1668,L,,angry,emotion,149.jpg,443410d6681f7b55542859573c01f3bd
E:\AMIT AI\Face Mask & Emotion detection\angry\1490.jpg,True,48,48,1,1276,L,,angry,emotion,1490.jpg,69c0cfa8cca460c301b46566bd3f41c5
E:\AMIT AI\Face Mask & Emotion detection\angry\150.jpg,True,48,48,1,1745,L,,angry,emotion,150.jpg,d5bffb50c949550da3c34bdbe2564750
E:\AMIT AI\Face Mask & Emotion detection\angry\1513.jpg,True,48,48,1,1716,L,,angry,emotion,1513.jpg,5ad4fb399f0d8f8c051f6feaffbbea00
E:\AMIT AI\Face Mask & Emotion detection\angry\1520.jpg,True,48,48,1,1667,L,,angry,emotion,1520.jpg,5542037607bd17b2564dc9a976157182
