filepath,valid,width,height,channels,file_size_bytes,color_mode,error,label,dataset,filename,file_hash
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1.jpg,True,525,350,3,28755,RGB,,with_mask,mask,with_mask_1.jpg,663c8859e9906113800defeeea107ca5
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_10.jpg,True,135,218,3,13918,RGB,,with_mask,mask,with_mask_10.jpg,d23d69169d5471598cf6fdc3e7bfef47
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_100.jpg,True,86,105,3,4253,RGB,,with_mask,mask,with_mask_100.jpg,7dfe9cd72c5d8a82fe6d65e3f95bd733
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1000.jpg,True,310,403,3,17907,RGB,,with_mask,mask,with_mask_1000.jpg,262eb08b1a216d27c9e7567ffa35dd20
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1001.jpg,True,121,204,3,9276,RGB,,with_mask,mask,with_mask_1001.jpg,0f8f164c1e378720bd9d9b780977e6bb
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1002.jpg,True,225,240,3,7173,RGB,,with_mask,mask,with_mask_1002.jpg,9c269717a37750300c30e2b37ee2cf27
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1003.jpg,True,165,236,3,15360,RGB,,with_mask,mask,with_mask_1003.jpg,570261cd4f656bb70797aa8659429369
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1004.jpg,True,257,196,3,8374,RGB,,with_mask,mask,with_mask_1004.jpg,ce4e20f09d0907fecd25285027851e57
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1005.jpg,True,166,166,3,11699,RGB,,with_mask,mask,with_mask_1005.jpg,89ccaa34d4209a8f8a1e93513170fa5e
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1006.jpg,True,603,350,3,22113,RGB,,with_mask,mask,with_mask_1006.jpg,33514f2d226a2e8e684197e42d5ff435
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1007.jpg,True,109,159,3,6325,RGB,,with_mask,mask,with_mask_1007.jpg,2c9923c257e9c9b9795e7304e1123208
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1008.jpg,True,203,248,3,6316,RGB,,with_mask,mask,with_mask_1008.jpg,cbe35213d21791fd02be897255d6f415
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1009.jpg,True,159,242,3,17156,RGB,,with_mask,mask,with_mask_1009.jpg,d5bc7702f7c6b707b5a7da9dbc06f885
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_101.jpg,True,565,901,3,115138,RGB,,with_mask,mask,with_mask_101.jpg,0d928b6491ea9a7a8fcbaa6d11f27478
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1010.jpg,True,318,442,3,32527,RGB,,with_mask,mask,with_mask_1010.jpg,78fab4b3ea32e013fb805d1bba2bfadf
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1011.jpg,True,226,325,3,20864,RGB,,with_mask,mask,with_mask_1011.jpg,756696fe6fecaf4205194eadd4040e89
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1012.jpg,True,259,194,3,5938,RGB,,with_mask,mask,with_mask_1012.jpg,6ffa5f1e16064980c26fd5c1de2f3b39
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1013.jpg,True,234,273,3,17063,RGB,,with_mask,mask,with_mask_1013.jpg,2f92dded4bb7af458841fb090da9a302
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1014.jpg,True,203,233,3,9795,RGB,,with_mask,mask,with_mask_1014.jpg,d2e591324b8442300aca95395dd00e03
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1015.jpg,True,91,111,3,4846,RGB,,with_mask,mask,with_mask_1015.jpg,77ff83ca95282d9314c7be7b7fd9557a
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1016.jpg,True,338,414,3,21162,RGB,,with_mask,mask,with_mask_1016.jpg,fc8f0ee9125071488976fe0523cdd01e
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1017.jpg,True,193,289,3,15698,RGB,,with_mask,mask,with_mask_1017.jpg,2dd6672811b59b8d852a000ce6d47642
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1018.jpg,True,225,225,3,9299,RGB,,with_mask,mask,with_mask_1018.jpg,f2ba2da10711cc2c7d05d56eabc77be4
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1019.jpg,True,171,246,3,16166,RGB,,with_mask,mask,with_mask_1019.jpg,4e1f6b061bc159e35bce8f2182fe421a
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_102.jpg,True,280,409,3,40435,RGB,,with_mask,mask,with_mask_102.jpg,4519bd8df3eb1ae5a8ad053b97b37bad
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1020.jpg,True,320,428,3,30388,RGB,,with_mask,mask,with_mask_1020.jpg,27a52684b553a74fae1c10303a25b0f4
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1021.jpg,True,156,221,3,14355,RGB,,with_mask,mask,with_mask_1021.jpg,b9b58c396a42f2633d892987a96c25cd
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1022.jpg,True,296,170,3,5261,RGB,,with_mask,mask,with_mask_1022.jpg,0d7abee8eb49362fb8336bd81219707a
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1023.jpg,True,245,387,3,35484,RGB,,with_mask,mask,with_mask_1023.jpg,bf3af14def832f5f0fd5a5f681324c3b
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1024.jpg,True,289,485,3,43472,RGB,,with_mask,mask,with_mask_1024.jpg,ebf889955d1afffeb9d25ddd32c73178
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1025.jpg,True,189,267,3,5883,RGB,,with_mask,mask,with_mask_1025.jpg,75c27a68ef186c7bad6e6f795bbb4a56
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1026.jpg,True,114,157,3,8363,RGB,,with_mask,mask,with_mask_1026.jpg,97c711ff186b2d1235478a242fa45b52
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1027.jpg,True,341,431,3,21382,RGB,,with_mask,mask,with_mask_1027.jpg,1527611af05b92b8e2091414d901e8b1
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1028.jpg,True,224,225,3,6212,RGB,,with_mask,mask,with_mask_1028.jpg,5930ddd6501f4a1b38497316c4106fa8
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1029.jpg,True,320,428,3,21419,RGB,,with_mask,mask,with_mask_1029.jpg,818cc6a63ffcb264cbe3fbf2ed111133
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_103.jpg,True,812,1082,3,122022,RGB,,with_mask,mask,with_mask_103.jpg,6421e8e5634bbd97dc7ff52ee4df3fe2
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1030.jpg,True,443,574,3,60530,RGB,,with_mask,mask,with_mask_1030.jpg,23fd804a6d960416caa3971d10f2f124
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1031.jpg,True,202,249,3,8401,RGB,,with_mask,mask,with_mask_1031.jpg,2d849b40660e9eda85e5f7a7f5506c8c
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1032.jpg,True,122,183,3,7963,RGB,,with_mask,mask,with_mask_1032.jpg,004db603b23693c6e99d71a8f08f5ebe
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1033.jpg,True,320,428,3,26711,RGB,,with_mask,mask,with_mask_1033.jpg,82f10782461d6ef0a2eb8e783464c2d9
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1034.jpg,True,121,166,3,8350,RGB,,with_mask,mask,with_mask_1034.jpg,d79977ae3d211ff9d1305408770c1179
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1035.jpg,True,320,428,3,26850,RGB,,with_mask,mask,with_mask_1035.jpg,ac50b6345bf87fe02078797c84e352b2
